JCR Year and Edition: 2012 Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
INT J DOC ANAL RECOG;1433-2833;238;0.800;1.008;0.050;20;6.0;0.00122;0.592;
INT J ELECTRON COMM;1086-4415;771;1.425;2.290;0.000;20;8.7;0.00118;0.675;
INT J FOUND COMPUT S;0129-0541;397;0.420;0.430;0.012;84;6.6;0.00271;0.373;
INT J FUZZY SYST;1562-2479;284;1.506;1.185;0.246;57;3.3;0.00060;0.193;
INT J GEN SYST;0308-1079;630;0.733;0.753;0.178;45;>10.0;0.00078;0.241;
INT J GEOGR INF SCI;1365-8816;2284;1.613;1.984;0.268;112;8.5;0.00375;0.560;
INT J HIGH PERFORM C;1094-3420;610;1.295;1.256;0.375;32;7.1;0.00143;0.498;
INT J HUM-COMPUT INT;1044-7318;619;1.131;1.284;0.133;60;7.4;0.00115;0.340;
INT J HUM-COMPUT ST;1071-5819;2062;1.415;2.003;0.117;60;8.1;0.00384;0.690;
INT J INF SECUR;1615-5262;175;0.480;0.945;0.074;27;5.0;0.00126;0.562;
INT J INTELL SYST;0884-8173;1320;1.416;1.579;0.137;51;8.5;0.00310;0.574;
INT J MED INFORM;1386-5056;2411;2.061;2.700;0.293;92;5.5;0.00624;0.719;
INT J MOD PHYS C;0129-1831;1144;0.615;0.723;0.212;104;7.1;0.00253;0.217;
INT J NETW MANAG;1055-7148;146;0.510;;0.000;31;6.6;0.00039;;
INT J NEURAL SYST;0129-0657;992;5.054;3.646;0.457;35;3.8;0.00199;0.593;
INT J NUMER METH FL;0271-2091;4671;1.352;1.430;0.176;267;8.5;0.01464;0.720;
INT J PARALLEL PROG;0885-7458;212;0.404;0.477;0.038;26;>10.0;0.00048;0.211;
INT J PATTERN RECOGN;0218-0014;735;0.562;0.755;0.014;70;8.0;0.00144;0.224;
INT J QUANTUM INF;0219-7499;648;0.918;0.829;0.136;81;4.0;0.00369;0.380;
INT J RF MICROW C E;1096-4290;366;0.752;0.572;0.130;77;4.7;0.00114;0.177;
INT J SEMANT WEB INF;1552-6283;166;0.250;1.955;0.000;11;3.7;0.00109;0.929;
INT J SOFTW ENG KNOW;0218-1940;175;0.295;0.336;0.030;33;6.9;0.00044;0.107;
INT J SYST SCI;0020-7721;1996;1.305;1.504;0.246;195;6.5;0.00428;0.411;
